[INFO 1:49:45 PM] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 1:49:45 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 1:49:45 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 1:49:45 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 1:49:46 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 1:49:46 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 1:49:46 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 1:49:55 PM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 1:49:55 PM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 1:49:55 PM] catppuccin-noctis-icons.files.associations changed, updating to undefined
